dogs,cats
10808,3668
5270,1064
19964,4263
15775,6752
11894,3123
13804,3424
17799,6273
18302,4760
16558,6748
18898,4708
12738,2776
6985,1909
23860,3961
8309,2313
13205,3797
14206,3572
12583,3851
12623,1847
5559,1009
9646,1875
12553,1737
