dogs,cats
10622,4458
5203,1300
20265,5524
15881,8186
11417,3601
13615,4087
17375,7226
17645,5558
15965,7797
19282,7990
12462,3453
6831,2279
23526,5138
7955,2773
13312,4520
14202,4433
12478,4763
12475,2419
5393,1279
9857,2467
12699,2307
